XB,FWMJ,CZMJ,YZJ,FWMJ.1,FWZJ,SFAJ,Age,RentType,BuyerAge,MonthlyRentUnitArea,In_Province,In_City,Label
1,88.24000000000001,88.24000000000001,2600.0,96.13,1060000.0,0.0,40,1.0,38,29.519392708539726,0,0,0
0,85.15,20.0,600.0,91.71,458083.0,1.0,35,0.0,31,30.0,1,0,0
0,79.67,79.67,1000.0,128.08,870000.0,1.0,38,1.0,33,12.551776076314798,1,0,0
0,81.58,81.58,2200.0,107.04,1348174.0,1.0,31,1.0,28,26.96739396911008,1,0,0
1,85.01,85.01,300.0,122.35,812746.0,1.0,41,1.0,39,3.528996588636631,1,0,0
1,83.8,83.8,1500.0,108.54,1445859.0,1.0,33,1.0,32,17.899761336515514,1,0,0
1,83.72,83.72,1500.0,111.1,1337977.0,1.0,37,1.0,32,17.916865742952698,1,0,0
1,68.59,68.59,1200.0,107.02,895968.02,1.0,33,1.0,29,17.49526169995626,1,0,0
0,85.44,85.44,2200.0,78.09,678900.0,1.0,32,1.0,30,25.749063670411985,1,0,0
0,73.06,38.0,650.0,108.83,586879.0,1.0,42,0.0,41,17.105263157894736,1,0,0
0,58.0,58.0,1200.0,110.5,1593741.0,0.0,38,1.0,34,20.689655172413797,1,0,0
0,88.58,44.29,2000.0,158.6,2810700.0,1.0,41,0.0,36,45.15692029803567,1,0,0
0,77.86,77.86,1300.0,112.77,1860000.0,1.0,38,1.0,35,16.696634985872077,1,0,0
1,92.88,92.88,2000.0,85.55,1260000.0,1.0,28,1.0,25,21.53316106804479,1,0,0
0,58.89,58.89,1350.0,70.03,788800.0,1.0,25,1.0,20,22.92409577177789,1,0,0
0,48.57,48.57,1000.0,86.14,1140000.0,1.0,30,1.0,29,20.588840848260244,1,0,0
0,69.22,69.22,800.0,105.33,2086500.0,1.0,29,1.0,24,11.557353366079168,1,0,0
0,107.31,83.655,808.0,126.54,939071.0,1.0,39,0.5,36,9.057944273599851,1,0,0
1,129.85,22.0,1200.0,122.65,702828.0,1.0,35,0.0,34,54.54545454545455,1,0,0
1,115.16,15.6,1817.0,65.37,600000.0,0.0,39,0.0,38,116.47435897435898,1,1,0
1,91.72,91.72,1000.0,151.95,860000.0,1.0,30,1.0,27,10.902747492368077,0,0,0
1,79.315,79.315,1250.0,93.3,646202.0,1.0,39,1.0,34,15.6050031430828,1,0,0
1,83.51,16.0,1180.0,126.19,1134196.0,1.0,28,0.0,26,73.75,1,0,0
