XB,FWMJ,CZMJ,YZJ,Age,RentType,RenterAge,MonthlyRentUnitArea,In_Province,In_City,Label
0,68.36,68.36,1000.0,35,1,32,14.628437682855472,1,0,0
1,128.24,128.24,2000.0,58,1,54,15.595757953836555,1,0,0
0,72.4,22.0,1250.0,34,0,32,56.81818181818182,1,0,0
0,77.32,77.32,1180.0,31,1,28,15.261251939989656,1,0,0
1,77.61,30.0,300.0,33,0,28,10.0,1,0,0
0,86.72,86.72,500.0,28,1,23,5.765682656826568,1,0,0
1,148.86,11.0,1430.0,29,0,26,130.0,1,0,0
0,77.77,77.77,750.0,58,1,56,9.643821525009644,1,0,0
1,83.06,30.0,800.0,29,0,25,26.666666666666668,1,0,0
1,111.89,111.89,1200.0,32,1,29,10.72481901867906,1,0,0
1,212.5,50.0,600.0,36,0,33,12.0,0,0,0
1,116.93,20.0,1200.0,38,0,36,60.0,1,0,0
1,121.09,121.09,2600.0,46,1,43,21.47163266991494,1,0,0
0,59.53,59.53,1800.0,48,1,45,30.236855367041827,1,0,0
1,311.1,30.0,800.0,45,0,41,26.666666666666668,1,0,0
0,19.07,10.0,400.0,26,0,23,40.0,1,0,0
1,51.56,16.66,1300.0,57,0,53,78.031212484994,1,0,0
0,135.26,9.0,890.0,26,0,24,98.88888888888889,1,0,0
1,89.66,9.4,1130.0,25,0,23,120.2127659574468,1,1,0
1,46.62,46.62,400.0,41,1,39,8.580008580008581,1,0,0
0,106.86,106.86,1000.0,32,1,27,9.358038555118847,0,0,0
0,55.95,18.0,1000.0,95,0,91,55.55555555555556,1,1,0
0,104.8,35.0,300.0,47,0,44,8.571428571428571,1,0,0
0,232.78,60.0,1000.0,34,0,30,16.666666666666668,1,0,0
1,87.49,87.49,4000.0,37,1,34,45.71951080123443,1,1,0
1,500.56,10.0,400.0,47,0,45,40.0,1,0,0
1,96.16,96.16,2500.0,33,1,28,25.998336106489187,1,0,0
1,121.77,121.77,1600.0,23,1,21,13.139525334647288,1,0,0
1,94.61,10.5,1160.0,27,0,25,110.47619047619048,1,0,0
0,89.39,89.39,2400.0,50,1,46,26.84864078756013,1,0,0
0,68.17,68.17,400.0,33,1,31,5.867683731846853,1,0,0
1,73.73,40.0,1500.0,38,0,34,37.5,1,0,0
1,47.36,47.36,1000.0,43,1,40,21.114864864864867,0,0,0
1,251.17,50.0,10000.0,36,0,34,200.0,1,0,0
1,86.0,10.55,1008.0,25,0,23,95.54502369668246,1,0,0
0,95.1,95.1,1250.0,32,1,30,13.144058885383808,1,0,0
0,108.11,108.11,4500.0,50,1,48,41.62427157524744,1,0,0
1,64.56,11.0,1000.0,31,0,28,90.9090909090909,1,0,0
1,765.27,30.0,430.0,38,0,35,14.333333333333334,1,0,0
0,76.39,50.0,500.0,28,0,24,10.0,1,0,0
1,65.91,65.91,1500.0,44,1,40,22.75830678197542,0,0,0
1,86.19,12.7,990.0,37,0,35,77.95275590551182,1,0,0
0,42.47,42.47,1500.0,29,1,26,35.319048740287265,1,0,0
0,88.17,88.17,1400.0,34,1,30,15.878416695020984,1,0,0
1,207.36,40.0,400.0,30,0,26,10.0,1,0,0
1,77.44,12.0,200.0,52,0,48,16.666666666666668,1,0,0
1,66.03,66.03,1000.0,46,1,43,15.144631228229592,1,0,0
1,810.0,20.0,500.0,49,0,46,25.0,1,0,0
0,101.99,101.99,1250.0,32,1,28,12.256103539562703,1,0,0
0,61.8,30.0,200.0,27,0,24,6.666666666666667,1,0,0
0,44.27,44.27,2000.0,35,1,31,45.1773209848656,0,0,0
0,89.36,20.0,1500.0,27,0,25,75.0,1,0,0
0,62.72,62.72,1500.0,67,1,64,23.915816326530614,1,1,0
1,55.51,55.51,1800.0,33,1,29,32.42658980363898,0,0,0
1,119.13,119.13,3000.0,44,1,41,25.182573659027952,0,0,0
1,195.0,30.0,5000.0,44,0,41,166.66666666666666,0,0,0
0,77.16,77.16,1500.0,32,1,27,19.44012441679627,1,0,0
0,79.28,79.28,1200.0,37,1,35,15.13622603430878,1,0,0
1,126.3,126.3,4200.0,40,1,38,33.2541567695962,0,0,0
1,36.38,36.38,1000.0,34,1,29,27.487630566245187,1,0,0
1,1130.14,50.0,417.0,47,0,43,8.34,1,0,0
1,124.46,16.4,1460.0,28,0,26,89.02439024390245,1,1,0
1,167.02,10.0,600.0,37,0,35,60.0,1,0,0
0,59.15,59.15,1600.0,35,1,31,27.04987320371936,1,0,0
1,54.06,54.06,1600.0,38,1,36,29.59674435812061,1,1,0
1,426.0,40.0,200.0,52,0,50,5.0,1,0,0
0,133.35,60.0,600.0,37,0,33,10.0,1,0,0
1,196.71,11.9,1690.0,26,0,24,142.01680672268907,0,0,0
0,105.96,20.0,1200.0,39,0,37,60.0,1,0,0
0,79.18,79.18,1700.0,36,1,32,21.47006819904016,1,0,0
1,104.61,16.4,1330.0,27,0,25,81.09756097560977,1,0,0
0,122.74,18.0,350.0,27,0,24,19.444444444444443,1,0,0
1,54.99,54.99,1100.0,26,1,22,20.00363702491362,1,0,0
1,92.94,92.94,2500.0,47,1,45,26.89907467183129,0,0,0
1,160.37,80.0,1500.0,25,0,20,18.75,1,0,0
1,105.39,55.0,1350.0,27,0,23,24.545454545454547,1,0,0
1,72.78,72.78,1000.0,48,1,44,13.740038472107722,1,0,0
0,70.0,70.0,1200.0,43,1,40,17.142857142857142,1,0,0
1,89.32,12.8,1090.0,27,0,25,85.15625,1,0,0
1,39.79,39.79,700.0,37,1,33,17.592359889419452,1,0,0
1,34.83,34.83,1871.0,24,1,21,53.71805914441573,0,0,0
0,138.12,22.95,1530.0,28,0,25,66.66666666666667,0,0,0
0,82.38,82.38,3000.0,42,1,39,36.41660597232338,1,0,0
1,97.17,12.0,1250.0,24,0,22,104.16666666666669,1,0,0
1,77.93,20.0,500.0,63,0,60,25.0,1,0,0
0,112.5,112.5,2100.0,49,1,46,18.666666666666668,1,1,0
0,94.34,11.6,1160.0,34,0,32,100.0,1,0,0
1,77.24,9.2,1090.0,26,0,24,118.47826086956525,1,0,0
1,125.14,38.0,800.0,28,0,26,21.05263157894737,1,0,0
